                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
1801                  Гайсин  2013      9                           12.3                       21.8                        0.4                       2.3                    122.60                  0.0                         2.106372
1840                  Дружба  2013      8                           18.3                       31.1                        8.5                       1.1                    120.50                  0.0                         2.050030
1841                  Дружба  2013      9                           10.7                       20.4                        1.2                       1.8                    120.90                  0.0                         2.060762
1855                 Житомир  2013      9                           12.3                       22.8                        0.3                       1.4                    202.20                  0.0                         4.241995
1862                Жмеринка  2013      9                           11.9                       21.6                        1.0                       3.3                    126.60                  0.0                         2.213690
1950                    Київ  2013      9                           12.4                       23.2                        2.8                       2.6                    201.90                  0.0                         4.233946
1976           Кропивницький  2013      9                           12.7                       24.6                        0.8                       3.9                    125.00                  0.0                         2.170762
2016                 Конотоп  2013      9                           11.9                       22.0                        2.1                       1.7                    118.80                  0.0                         2.004420
2068                   Лубни  2013      9                           12.3                       23.7                        1.6                       2.1                    124.50                  0.0                         2.157348
2072                   Луцьк  2013      7                           19.7                       32.2                       11.3                       2.6                    163.40                  0.0                         3.201013
2080                   Львів  2013      3                           -1.6                       13.0                      -18.3                       3.1                    140.90                 29.0                         2.597350
2083                   Львів  2013      6                           18.5                       30.1                        7.5                       1.7                    140.80                  0.0                         2.594668
2096               Любашівка  2013      7                           20.7                       30.3                       10.6                       2.3                    130.30                  0.0                         2.312958
2122               Миронівка  2013      9                           12.8                       23.3                        3.0                       2.5                    134.00                  0.0                         2.412227
2141                   Ніжин  2013      9                           11.9                       23.0                        2.3                     -83.2                    147.40                  0.0                         2.771742
2150                 Звягель  2013      7                           19.0                       29.4                        9.5                       1.4                    119.40                  0.0                         2.020518
2218                 Прилуки  2013      9                           11.8                       23.7                        0.5                    -211.6                    167.40                  0.0                         3.308331
2239                   Рахів  2013      9                           11.7                       24.0                        2.7                       0.8                    124.60                  0.0                         2.160031
2258                   Ромни  2013      9                           11.6                       22.0                        1.4                       1.5                    153.00                  0.0                         2.921987
2267                   Сарни  2013      6                           19.5                       31.2                       11.7                       1.9                    119.90                  0.0                         2.033932
2270                   Сарни  2013      9                           12.3                       23.0                       -0.8                       2.7                    123.90                  0.0                         2.141250
2329               Тернопіль  2013      6                           18.5                       28.4                        6.8                       3.1                    161.80                  0.0                         3.158086
2339      Тетерів (Пісківка)  2013      9                           12.2                       22.6                        0.3                       1.7                    120.60                  0.0                         2.052713
2389                  Харків  2013      9                           12.3                       20.8                        1.4                       3.5                    122.00                  0.0                         2.090274
2408                Хмільник  2013      9                          -31.3                       21.7                    -9999.0                       2.1                    139.60                  0.0                         2.562472
2417            Хмельницький  2013      6                           18.8                       29.4                        8.4                       3.0                    143.30                  0.0                         2.661741
2485            Чорноморське  2013     10                            9.7                       17.1                       -1.6                       3.7                    122.90                  0.0                         2.114421
2496                 Чортків  2013      7                           19.1                       31.3                       10.1                       2.0                    132.70                  0.0                         2.377349
2507               Шепетівка  2013      6                           19.1                       29.2                       10.5                       1.6                    140.80                  0.0                         2.594668
2510               Шепетівка  2013      9                           11.7                       21.9                        1.1                       3.4                    145.80                  0.0                         2.728815
2517                  Яготин  2013      9                           12.2                       22.7                        1.0                       2.5                    142.80                  0.0                         2.648326
2531              Дебальцеве  2013      9                           11.9                       25.5                        1.6                       2.6                    134.10                  0.0                         2.414910
2574            Асканія Нова  2014      8                           24.7                       38.1                       11.6                       3.1                    164.30                  0.0                         3.225159
2609               Білопілля  2014      7                           20.4                       32.5                       11.2                       1.3                    131.00                  0.0                         2.331739
2648               Богодухів  2014      6                           17.7                       29.7                        7.7                       3.0                    205.50                  0.0                         4.330532
2659                   Броди  2014      5                           14.5                       28.0                       -1.0                       2.5                    136.00                  0.0                         2.465886
2684          Великий Бурлук  2014      6                           17.8                       31.5                        7.3                       3.5                    128.30                  0.0                         2.259300
2707                 Вінниця  2014      5                           15.5                       27.9                        1.2                       3.2                    134.90                  0.0                         2.436374
2719               Володимир  2014      5                           14.5                       27.9                        1.2                       2.4                    138.40                  0.0                         2.530277
2722               Володимир  2014      8                           18.5                       33.0                        7.6                       1.5                    118.90                  0.0                         2.007103
2755                Гайворон  2014      5                           16.3                       29.7                        0.0                       1.4                    157.10                  0.0                         3.031987
2767                  Гайсин  2014      5                           16.2                       29.0                        0.0                       1.3                    158.30                  0.0                         3.064183
2811                  Дніпро  2014      5                           18.4                       32.2                        3.8                       3.4                    125.30                  0.0                         2.178811
2823                Дрогобич  2014      5                           13.8                       27.2                       -1.0                       2.1                    183.60                  0.0                         3.742967
2825                Дрогобич  2014      7                          -30.3                       29.4                    -9999.0                       1.4                    149.00                  0.0                         2.814669
2826                Дрогобич  2014      8                          -24.0                       30.8                    -9999.0                       1.7                    138.90                  0.0                         2.543692
2835                  Дружба  2014      5                           16.5                       32.0                       -2.0                       1.5                    132.80                  0.0                         2.380032
2855                  Жашків  2014      5                           16.1                       30.0                        1.0                       1.0                    137.50                  0.0                         2.506130
2867                 Житомир  2014      5                           16.2                       29.0                        1.6                       1.3                    129.50                  0.0                         2.291495
2869                 Житомир  2014      7                           20.6                       31.2                       11.8                       0.4                    128.70                  0.0                         2.270031
2895               Запоріжжя  2014      9                           17.2                       31.6                        5.4                       4.0                    166.80                  0.0                         3.292233
2903            Звенигородка  2014      5                           16.3                       29.7                        1.0                       1.4                    146.20                  0.0                         2.739546
2929        Івано-Франківськ  2014      7                           19.8                       29.8                        8.6                       2.1                    140.30                  0.0                         2.581253
2952                    Ізюм  2014      6                           18.9                       32.3                        8.4                       1.8                    138.60                  0.0                         2.535643
2963   Кам’янець-Подільський  2014      5                           15.1                       28.0                       -2.0                       2.4                    120.90                  0.0                         2.060762
2965   Кам’янець-Подільський  2014      7                           20.4                       29.8                        8.2                       1.9                    185.70                  0.0                         3.799309
2987                    Київ  2014      5                           16.9                       29.3                        1.9                       2.2                    172.40                  0.0                         3.442478
3053                 Коломия  2014      7                           19.3                       29.4                        7.3                       1.4                    127.00                  0.0                         2.224421
3099              Крем’янець  2014      5                           14.7                       28.6                        0.0                       2.7                    134.20                  0.0                         2.417593
3135                  Лозова  2014      5                           18.4                       32.0                        3.0                       2.5                    156.00                  0.0                         3.002475
3161                   Луцьк  2014      7                           20.8                       31.6                        9.2                       2.5                    119.10                  0.0                         2.012469
3171                   Львів  2014      5                           13.9                       27.2                       -0.8                       2.0                    142.40                  0.0                         2.637595
3207               Миронівка  2014      5                           17.0                       30.3                        1.2                       2.1                    157.80                  0.0                         3.050768
3221     Могилів-Подільський  2014      7                           21.2                       32.6                       10.0                       1.0                    169.70                  0.0                         3.370038
3268            Нова Каховка  2014      6                           20.7                       32.3                       12.8                       2.4                    119.00                  0.0                         2.009786
3281              Нова Ушиця  2014      7                           20.3                       29.9                       10.2                       1.2                    176.30                  0.0                         3.547112
3291            Новомиргород  2014      5                           16.7                       29.7                        1.0                       1.9                    121.50                  0.0                         2.076859
3306                   Овруч  2014      8                           19.4                       34.3                        8.6                       1.0                    138.20                  0.0                         2.524911
3340                 Полтава  2014      6                           18.4                       30.2                        9.4                       3.4                    135.30                  0.0                         2.447106
3367                  Пришиб  2014      9                           17.0                       31.2                        5.0                    -247.6                    134.10                  0.0                         2.414910
3375             Рава Руська  2014      5                           13.9                       27.3                        0.0                       2.6                    130.70                  0.0                         2.323690
3389                   Рахів  2014      7                           18.8                       30.7                        9.4                     -48.5                    147.90                  0.0                         2.785157
3390                   Рахів  2014      8                          -23.8                       31.7                    -9999.0                       0.7                    157.80                  0.0                         3.050768
3391                   Рахів  2014      9                           14.6                       27.3                        2.3                       1.1                    175.60                  0.0                         3.528332
3392                   Рахів  2014     10                            9.8                       24.3                       -3.9                       0.9                    170.30                  0.0                         3.386136
3399                   Рівне  2014      5                           14.9                       28.3                       -0.6                       3.3                    143.50                  0.0                         2.667107
3402                   Рівне  2014      8                           19.1                       33.7                        7.6                       2.9                    134.60                  0.0                         2.428325
3413                   Ромни  2014      7                           21.3                       31.2                       12.4                       1.1                    130.00                  0.0                         2.304910
3455                 Селятин  2014      5                           10.6                       22.4                       -4.0                       1.1                    167.70                  0.0                         3.316379
3457                 Селятин  2014      7                           16.6                       25.8                        4.7                       1.2                    128.60                  0.0                         2.267348
3507               Тернопіль  2014      5                           14.4                       26.9                       -1.0                       3.6                    131.70                  0.0                         2.350520
3510               Тернопіль  2014      8                           18.8                       32.7                        7.0                       3.0                    120.30                  0.0                         2.044664
3519      Тетерів (Пісківка)  2014      5                          -27.1                       30.6                    -9999.0                       1.4                    126.90                  0.0                         2.221738
3531                   Турка  2014      5                           11.2                       24.9                       -3.0                       1.9                    189.00                  0.0                         3.887846
3533                   Турка  2014      7                           17.2                       27.1                        5.5                       1.1                    181.70                  0.0                         3.691991
3534                   Турка  2014      8                           15.9                       29.3                        2.6                       1.2                    148.30                  0.0                         2.795888
3555                   Умань  2014      5                           16.1                       28.7                        1.4                       1.2                    124.60                  0.0                         2.160031
3580                  Харків  2014      6                           18.4                       30.4                        9.6                       3.7                    137.40                  0.0                         2.503447
3675               Чорнобиль  2014      5                           16.0                       29.8                        0.0                       1.2                    175.80                  0.0                         3.533698
3711                 Чигирин  2014      5                           17.7                       29.9                        2.0                       1.4                    160.80                  0.0                         3.131256
3723                 Чортків  2014      5                           14.6                       27.1                        0.0                     -40.4                    123.20                  0.0                         2.122469
3735               Шепетівка  2014      5                           15.2                       28.2                        0.3                       2.7                    132.70                  0.0                         2.377349
3747                  Яготин  2014      5                           17.3                       29.3                        1.0                       2.3                    135.70                  0.0                         2.457837
